-13.809 , 30.784 , -2.351 , -2.218 , 562.934 , -0.139 , 1.210 , 90.898 , 117.969 , 111.646
-13.809 , 25.784 , -3.945 , -2.222 , 390.422 , -0.138 , 1.155 , 94.898 , 116.969 , 112.009
-14.809 , 16.784 , -24.793 , -2.261 , 8.451 , -0.096 , 0.491 , 101.898 , 117.969 , 125.877
-12.809 , 87.784 , 31.629 , -2.212 , 574.564 , -0.140 , 1.265 , 82.898 , 116.969 , 95.568
-9.809 , 83.784 , 42.988 , -2.213 , 510.205 , -0.142 , 1.253 , 77.898 , 113.969 , 84.310
-11.809 , 80.784 , 11.332 , -2.245 , 88.589 , -0.124 , 0.848 , 62.898 , 113.969 , 93.603
-11.809 , 34.784 , -3.812 , -2.260 , -49.032 , -0.110 , 0.561 , 21.898 , 102.969 , 77.439
-13.809 , 20.784 , -27.633 , -2.272 , -119.528 , -0.056 , 0.144 , 82.898 , 112.969 , 114.802
-13.809 , 26.784 , -1.070 , -2.242 , 133.472 , -0.125 , 0.878 , 79.898 , 115.969 , 103.982
-13.809 , 14.784 , -17.273 , -2.265 , -65.557 , -0.039 , 0.207 , 86.898 , 117.969 , 118.326
-13.809 , 77.784 , 40.203 , -2.226 , 324.451 , -0.137 , 1.115 , 77.898 , 116.969 , 87.349
-12.809 , 81.784 , 35.172 , -2.214 , 487.547 , -0.138 , 1.192 , 77.898 , 114.969 , 88.982
-13.809 , 59.784 , 12.113 , -2.217 , 502.934 , -0.138 , 1.177 , 80.898 , 114.969 , 101.384
-11.809 , 77.784 , 32.953 , -2.209 , 583.497 , -0.142 , 1.274 , 78.898 , 113.969 , 91.588
-10.809 , 71.784 , 27.438 , -2.204 , 746.689 , -0.142 , 1.341 , 79.898 , 111.969 , 93.091
-12.809 , 38.784 , -13.789 , -2.241 , 247.064 , -0.125 , 0.891 , 82.898 , 114.969 , 116.814
-12.809 , 11.784 , -12.148 , -2.243 , 114.368 , -0.128 , 0.912 , 102.898 , 113.969 , 117.005
-9.809 , 45.784 , 13.379 , -2.218 , 445.101 , -0.139 , 1.183 , 89.898 , 111.969 , 102.142
-11.809 , 6.784 , -9.832 , -2.231 , 269.068 , -0.132 , 1.019 , 98.898 , 111.969 , 114.978
-12.809 , -31.216 , -33.695 , -2.280 , -192.086 , -0.019 , -0.141 , 120.898 , 112.969 , 128.244
-12.809 , 18.784 , -23.797 , -2.261 , -1.207 , -0.082 , 0.448 , 99.898 , 113.969 , 122.396
-12.809 , 17.784 , -19.179 , -2.245 , 104.072 , -0.128 , 0.859 , 94.898 , 111.969 , 118.927
-10.809 , 40.784 , -1.215 , -2.217 , 511.189 , -0.137 , 1.193 , 88.898 , 112.969 , 110.400
-10.809 , 31.784 , 6.121 , -2.221 , 409.322 , -0.138 , 1.140 , 89.898 , 114.969 , 106.826
-10.809 , 30.784 , 3.918 , -2.215 , 490.084 , -0.140 , 1.217 , 92.898 , 114.969 , 109.017
-11.809 , -31.216 , -28.808 , -2.271 , -159.553 , -0.088 , 0.282 , 122.898 , 115.969 , 128.986
-10.809 , 5.784 , -22.047 , -2.259 , 42.151 , -0.091 , 0.494 , 103.898 , 114.969 , 124.916
-9.809 , 31.784 , -12.945 , -2.234 , 247.314 , -0.131 , 1.007 , 93.898 , 114.969 , 117.130
-9.809 , 35.784 , -5.457 , -2.238 , 190.414 , -0.131 , 0.993 , 92.898 , 112.969 , 113.220
-7.809 , 4.784 , -9.289 , -2.248 , 26.543 , -0.126 , 0.819 , 111.898 , 111.969 , 116.755
-4.809 , -4.216 , -4.355 , -2.243 , 60.968 , -0.129 , 0.854 , 108.898 , 110.969 , 114.564
-4.809 , 27.784 , 5.184 , -2.229 , 284.159 , -0.136 , 1.064 , 94.898 , 110.969 , 108.759
-6.809 , 72.784 , 60.930 , -2.177 , 1234.526 , -0.145 , 1.454 , 78.898 , 110.969 , 74.541
